kappa,rho,center_up_to_down,center_down_to_up,end_up_to_down,end_down_to_up,cost,direct_exp_weight,feedback_adj_rate,forgetting_factor,total_rewards,action_rewards,opinion_rewards,sp0_social_trust,sp1_social_trust,sp2_social_trust,sp0_request_rate,sp1_request_rate,sp2_request_rate,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,sp0_availability,sp1_availability,sp2_availability
3,0.887445685,"[0.3080252635292709, 0.3080252635292709, 0.3080252635292709]","[0.09563348101451992, 0.09563348101451992, 0.09563348101451992]","[0.23765954397618771, 0.23765954397618771, 0.23765954397618771]","[0.7102838259376586, 0.7102838259376586, 0.7102838259376586]","[0.9667868016846478, 0.9667868016846478, 0.9667868016846478]",0.401313234,0.491673605,0.120029525,28913.30026,16111.17251,12802.12774,0.457712772,0.496709007,0.521676411,69.73041553,15.3933914,14.67659227,0.296174923,48.80418436,0.053003085,6.18616585,0.051834513,44.40903647,0.175923644,0.174963854,0.175817928
2,0.41640179,"[0.0551639498770237, 0.0551639498770237, 0.0551639498770237]","[0.6514826060645282, 0.6514826060645282, 0.6514826060645282]","[0.7200732329674066, 0.7200732329674066, 0.7200732329674066]","[0.830700612552464, 0.830700612552464, 0.830700612552464]","[0.5361767534539104, 0.5361767534539104, 0.5361767534539104]",0.852443237,0.595027392,0.810655562,-11538.07531,29162.45164,-40700.52695,0.475622809,0.495652809,0.474220815,69.73029577,15.39338051,14.67672292,0.296167665,48.80504083,0.053053892,6.186100526,0.051714752,44.40832154,0.503530648,0.504033388,0.503813137
6,0.604405226,"[0.398140441197902, 0.398140441197902, 0.398140441197902]","[0.049532739836722614, 0.049532739836722614, 0.049532739836722614]","[0.4571401496604085, 0.4571401496604085, 0.4571401496604085]","[0.6163389342650771, 0.6163389342650771, 0.6163389342650771]","[0.8417196092754602, 0.8417196092754602, 0.8417196092754602]",0.063956456,0.556013676,0.862868757,-51714.47635,-2446.747808,-49267.72854,0.266716542,0.464701944,0.294683776,69.72167302,15.39637815,14.68234803,0.298301579,48.79942297,0.05355108,6.188321539,0.052426057,44.40837598,0.06834266,0.067391254,0.067727091
6,0.434490238,"[0.2735230327397585, 0.2735230327397585, 0.2735230327397585]","[0.5898866358213126, 0.5898866358213126, 0.5898866358213126]","[0.11357267299667, 0.11357267299667, 0.11357267299667]","[0.9360779878869653, 0.9360779878869653, 0.9360779878869653]","[0.18817136490717531, 0.18817136490717531, 0.18817136490717531]",0.365259463,0.946341679,0.47960256,-26599.11414,23123.812,-49722.92615,0.43667081,0.492394341,0.431618965,69.72921067,15.39370713,14.6774814,0.296508801,48.80415533,0.052897841,6.186681183,0.051729269,44.40842678,0.617818944,0.617598839,0.617637053
5,0.377301435,"[0.8322363816760481, 0.8322363816760481, 0.8322363816760481]","[0.700616956576705, 0.700616956576705, 0.700616956576705]","[0.4674685822427273, 0.4674685822427273, 0.4674685822427273]","[0.5015167941711842, 0.5015167941711842, 0.5015167941711842]","[0.3249850020557642, 0.3249850020557642, 0.3249850020557642]",0.09188571,0.013620855,0.300119159,35499.79315,-12063.24478,47563.03792,0.578560925,0.508434999,0.576407737,69.73250953,15.39288332,14.67500635,0.295561604,48.80664489,0.052836146,6.185381963,0.051551443,44.40842315,0.231321756,0.231267901,0.231795827
3,0.887445685,"[0.3080252635292709, 0.3080252635292709, 0.3080252635292709]","[0.09563348101451992, 0.09563348101451992, 0.09563348101451992]","[0.23765954397618771, 0.23765954397618771, 0.23765954397618771]","[0.18644621681421997, 0.18644621681421997, 0.18644621681421997]","[0.9667868016846478, 0.9667868016846478, 0.9667868016846478]",0.401313234,0.491673605,0.120029525,14280.13895,5135.077075,9145.061876,0.441344893,0.494395532,0.518374231,69.73011069,15.39347487,14.67681365,0.296258392,48.8038904,0.052999456,6.186300127,0.051761931,44.40918889,0.076093522,0.075639013,0.076143132
7,0.205175516,"[0.7817656277306377, 0.7817656277306377, 0.7817656277306377]","[0.034566982220858335, 0.034566982220858335, 0.034566982220858335]","[0.30374396938830617, 0.30374396938830617, 0.30374396938830617]","[0.9131376446411014, 0.9131376446411014, 0.9131376446411014]","[0.23321842761710287, 0.23321842761710287, 0.23321842761710287]",0.571701435,0.562546986,0.435943509,-87974.49121,-38119.91636,-49854.57485,0.36344647,0.47346442,0.435503012,69.7276683,15.39400835,14.67872255,0.297005988,48.80316095,0.052919615,6.187414262,0.051453457,44.40844493,0.039204536,0.03875264,0.039540192
2,0.542787442,"[0.6916942421346903, 0.6916942421346903, 0.6916942421346903]","[0.24288971077650787, 0.24288971077650787, 0.24288971077650787]","[0.17564476121217013, 0.17564476121217013, 0.17564476121217013]","[0.1603580859489739, 0.1603580859489739, 0.1603580859489739]","[0.923412347715348, 0.923412347715348, 0.923412347715348]",0.196025424,0.681075471,0.286471526,-43537.55854,482.2298798,-44019.78842,0.404169758,0.484394943,0.429293453,69.72869171,15.39384141,14.67786609,0.296657594,48.80377427,0.052908728,6.187022319,0.051678461,44.40835783,0.054885828,0.054680421,0.054507095
3,0.359210168,"[0.5988617609255016, 0.5988617609255016, 0.5988617609255016]","[0.5174489135295153, 0.5174489135295153, 0.5174489135295153]","[0.8290364407747984, 0.8290364407747984, 0.8290364407747984]","[0.7508447937108577, 0.7508447937108577, 0.7508447937108577]","[0.9505458250455558, 0.9505458250455558, 0.9505458250455558]",0.583255156,0.426196832,0.868519183,49904.43231,27045.34249,22859.08982,0.438472553,0.493743324,0.560639968,69.72967882,15.39367084,14.67704954,0.296211214,48.80362185,0.052966794,6.186503357,0.051616766,44.40947922,0.283249755,0.282322954,0.282918418
5,0.377301435,"[0.8322363816760481, 0.8322363816760481, 0.8322363816760481]","[0.700616956576705, 0.700616956576705, 0.700616956576705]","[0.4674685822427273, 0.4674685822427273, 0.4674685822427273]","[0.9134187294915318, 0.9134187294915318, 0.9134187294915318]","[0.3249850020557642, 0.3249850020557642, 0.3249850020557642]",0.09188571,0.013620855,0.300119159,53218.56001,5655.51011,47563.0499,0.582864607,0.509387388,0.577320253,69.73258937,15.39285066,14.67495917,0.295543459,48.80668118,0.052828888,6.185338414,0.051558701,44.40844856,0.39237877,0.392324007,0.393224496
