total_rewards,action_rewards,opinion_rewards,social_trust_sp0,social_trust_sp1,social_trust_sp2,request_rate_sp0,request_rate_sp1,request_rate_sp2,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,availability_sp0,availability_sp1,availability_sp2
17911.0,3417.0,14494.0,0.4981781844420921,0.495774808363579,0.5021406161749757,33.07,21.8,45.13,2.05,30.69,0.01,21.23,0.02,46.0,0.4315089204717266,0.41834862385321103,0.44294261023709286
17139.0,2723.0,14416.0,0.5057117490777194,0.4979012345479737,0.4738240382748802,33.09,21.77,45.14,1.93,30.76,0.0,21.14,0.02,46.15,0.4514959202175884,0.4253559944878273,0.34802835622507755
18028.0,3404.0,14624.0,0.5027937377222486,0.49525077690045877,0.4952420533062291,33.32,21.75,44.93,1.92,30.95,0.01,21.66,0.03,45.43,0.46338535414165666,0.4027586206896552,0.42755397284665037
17451.0,2969.0,14482.0,0.49565268964559983,0.471118890965653,0.5054903678489246,33.42,21.73,44.85,1.92,31.09,0.0,21.25,0.02,45.72,0.43836026331538,0.28854118729866546,0.4512820512820513
17711.0,3132.0,14579.0,0.5029191989012113,0.4943006809280099,0.4816402452459327,33.19,21.83,44.98,1.83,30.7,0.01,21.96,0.0,45.5,0.4522446520036155,0.4067796610169492,0.3981769675411294
17793.0,3401.0,14392.0,0.5038459354960952,0.5023818724643035,0.4861845110879818,33.31,21.95,44.74,1.76,30.94,0.02,21.26,0.01,46.01,0.462323626538577,0.4569476082004556,0.39986589181940096
17850.0,3378.0,14472.0,0.504915623315594,0.5013546883750986,0.4822442051421364,33.18,21.8,45.02,1.79,30.8,0.03,21.12,0.01,46.25,0.45479204339963836,0.44587155963302755,0.40626388271879166
18479.0,3799.0,14680.0,0.5065952997009333,0.49547272970630507,0.5057956715131576,33.24,21.74,45.02,1.95,30.94,0.04,21.63,0.02,45.42,0.4611913357400722,0.4337626494940202,0.45957352287872055
18231.0,3581.0,14650.0,0.5095524535498503,0.5036323155081041,0.49197088179179116,33.21,21.78,45.01,1.97,30.28,0.0,21.49,0.01,46.25,0.4700391448358928,0.4573002754820937,0.4103532548322595
17083.0,2746.0,14337.0,0.4856544868331815,0.5068783150823176,0.47370791455080385,33.24,21.71,45.05,2.03,30.64,0.04,21.57,0.02,45.7,0.3941034897713598,0.4785812989405804,0.3664816870144284
17046.0,2639.0,14407.0,0.4939047403885754,0.49414704616368205,0.4725775741216971,33.14,21.84,45.02,1.73,31.37,0.01,21.45,0.01,45.43,0.4266747133373567,0.40705128205128205,0.3649489115948467
18146.0,3610.0,14536.0,0.5092603383883393,0.4912442692865627,0.5029604780888679,33.28,21.67,45.05,1.88,31.07,0.02,21.34,0.0,45.69,0.4717548076923077,0.3922473465620674,0.44816870144284127
18679.0,3920.0,14759.0,0.5017079976238226,0.5035012028256718,0.5084634630118876,33.2,21.79,45.01,1.81,30.84,0.04,21.23,0.04,46.04,0.44728915662650603,0.46076181734740707,0.4643412574983337
18069.0,3523.0,14546.0,0.5003749516301496,0.4968439112427729,0.4987530725256441,33.24,21.75,45.01,1.9,31.09,0.0,21.49,0.0,45.52,0.4545728038507822,0.4262068965517241,0.4359031326371917
18424.0,3575.0,14849.0,0.4984661770917387,0.5038864994124027,0.5027467879649881,33.23,21.88,44.89,1.85,30.79,0.01,21.49,0.03,45.83,0.4089678001805597,0.4616087751371115,0.45355312987302293
17549.0,3241.0,14308.0,0.49038288460071,0.49027263239000374,0.5051966136223186,33.02,21.86,45.12,1.89,30.33,0.01,21.32,0.03,46.42,0.404603270745003,0.38014638609332113,0.46032801418439717
18103.0,3542.0,14561.0,0.504459729080106,0.5050437776414703,0.5000060354886835,33.07,21.83,45.1,1.86,31.15,0.01,21.31,0.02,45.65,0.4560024191109767,0.4658726523133303,0.4152993348115299
17830.0,3348.0,14482.0,0.4918406294705781,0.49280101997842857,0.5066426780889933,33.28,21.81,44.91,1.9,31.06,0.0,21.37,0.04,45.63,0.41556490384615385,0.39248051352590557,0.4598085059006903
17709.0,3282.0,14427.0,0.49040015680616655,0.48904374726480093,0.5100457821696982,33.1,21.85,45.05,1.95,30.53,0.03,21.4,0.03,46.06,0.40725075528700905,0.37986270022883295,0.46481687014428413
18672.0,3897.0,14775.0,0.5035529366923678,0.503804977736453,0.506679468932884,33.26,21.71,45.03,2.1,30.58,0.02,21.81,0.03,45.46,0.45700541190619365,0.4555504375863657,0.4568065733955141
18583.0,3779.0,14804.0,0.5032718293452555,0.505853402520589,0.5036649218809818,33.11,21.69,45.2,1.9,30.59,0.04,21.29,0.02,46.16,0.4539414074297795,0.46887966804979253,0.44380530973451326
18270.0,3613.0,14657.0,0.4996538389223866,0.5021143310866567,0.49984512629168426,33.11,21.86,45.03,1.96,30.87,0.03,21.44,0.03,45.67,0.4424645122319541,0.4624885635864593,0.434155007772596
17352.0,2966.0,14386.0,0.5029140376155882,0.4986131700709381,0.4763310850888651,33.26,21.83,44.91,1.87,30.7,0.05,21.47,0.06,45.85,0.4539987973541792,0.4319743472285845,0.3669561344912046
17335.0,2913.0,14422.0,0.49120188955367444,0.4956604436855672,0.48836902327672504,33.07,21.79,45.14,1.8,30.74,0.01,21.51,0.04,45.9,0.3949198669488963,0.40798531436438734,0.4169251218431546
