"total_rewards","action_rewards","opinion_rewards","sp0_social_trust","sp1_social_trust","sp2_social_trust","sp0_request_rate","sp1_request_rate","sp2_request_rate","op0_expression_rate","op1_expression_rate","op2_expression_rate","op3_expression_rate","op4_expression_rate","op5_expression_rate","mean_loss1","mean_loss2","sp0_availability","sp1_availability","sp2_availability"
18984,28616,-9632,0.712917698751951,0.678715693244552,0.721123904732059,33.4054545454545,33.5127272727273,33.0818181818182,16.9072727272727,16.7436363636364,16.8181818181818,16.7890909090909,16.4436363636364,16.2981818181818,1.45181330767545,-6.61390717571432,0.858379143308115,0.793836805555556,0.874031327287716
19239,28643,-9404,0.712933108446417,0.67805672171272,0.721324251574006,33.4636363636364,33.3527272727273,33.1836363636364,16.6909090909091,16.9309090909091,16.7636363636364,16.8545454545455,16.3345454545455,16.4254545454545,1.38378336754712,-6.6698362047022,0.858353708231459,0.793610989969472,0.873979507972166
19536,28640,-9104,0.712923418791239,0.677985443421184,0.721213195383818,33.5127272727273,33.2890909090909,33.1981818181818,16.5472727272727,17.0672727272727,16.6272727272727,16.9654545454545,16.2509090909091,16.5418181818182,1.31281752586365,-6.68876398693432,0.858235677083333,0.793817248347807,0.873760885042993
19759,28665,-8906,0.713066822062998,0.677920135265098,0.721312847764806,33.56,33.1781818181818,33.2618181818182,16.4072727272727,17.1836363636364,16.5145454545455,17.0363636363636,16.1563636363636,16.7018181818182,1.24373016899282,-6.76010391495445,0.858489543829234,0.794607628233231,0.873729091505412
20057,28678,-8621,0.713227683458984,0.677277016545502,0.721656473662512,33.6109090909091,33.0636363636364,33.3254545454545,16.2472727272727,17.2945454545455,16.4290909090909,17.1654545454545,16.0163636363636,16.8472727272727,1.17329543503848,-6.7905166701837,0.85870388402034,0.793731097058015,0.874352119591904
20431,28721,-8290,0.713045507556268,0.677176356076356,0.721697375207748,33.6472727272727,33,33.3527272727273,16.1072727272727,17.4090909090909,16.3672727272727,17.2490909090909,15.8327272727273,17.0345454545455,1.10533405650746,-6.80000705827366,0.858532367880687,0.793994490358127,0.874509376362843
20695,28769,-8074,0.713102850145053,0.676603710867828,0.721801873982412,33.6690909090909,32.9363636363636,33.3945454545455,15.9836363636364,17.4836363636364,16.2763636363636,17.3672727272727,15.7181818181818,17.1709090909091,1.03697380586104,-6.87785718766126,0.858948050545415,0.793375655534088,0.874666521478739
21190,28855,-7665,0.713256524471621,0.676381019205725,0.721729152807558,33.7236363636364,32.88,33.3963636363636,15.8290909090909,17.6454545454545,16.1072727272727,17.5072727272727,15.5890909090909,17.3218181818182,0.971910616484555,-6.85917108925906,0.859284019840414,0.793574430435744,0.874618902439024
21585,28893,-7308,0.713081100489537,0.676020813089009,0.721789429758195,33.7490909090909,32.8290909090909,33.4218181818182,15.6654545454545,17.7672727272727,15.9854545454545,17.6909090909091,15.4454545454545,17.4454545454545,0.902159584110433,-6.8753770405596,0.859228531408253,0.793586619406291,0.874931998694375
22046,28938,-6892,0.712998460265488,0.675999085000455,0.721831318112026,33.7818181818182,32.7563636363636,33.4618181818182,15.4709090909091,18,15.7963636363636,17.8490909090909,15.3054545454545,17.5781818181818,0.832218085635792,-6.8598062526096,0.859311087190527,0.793794404973357,0.875135840034775
