"total_rewards","action_rewards","opinion_rewards","sp0_social_trust","sp1_social_trust","sp2_social_trust","sp0_request_rate","sp1_request_rate","sp2_request_rate","op0_expression_rate","op1_expression_rate","op2_expression_rate","op3_expression_rate","op4_expression_rate","op5_expression_rate","mean_loss1","mean_loss2","sp0_availability","sp1_availability","sp2_availability"
21000,30210,-9210,0.692406015673853,0.729215593224524,0.716647903383184,32.9290909090909,33.8854545454545,33.1854545454545,16.6454545454545,16.7,16.3218181818182,17.1127272727273,16.8254545454545,16.3945454545455,1.56595416069031,-6.42628896886652,0.816685991938601,0.884852712346408,0.864891518737673
21263,30236,-8973,0.692379069102196,0.729155957965457,0.716734730397347,32.9018181818182,33.9436363636364,33.1545454545455,16.4890909090909,16.8636363636364,16.2181818181818,17.1654545454545,16.76,16.5036363636364,1.49812874143774,-6.47416440356862,0.816920866489832,0.884568000428518,0.86514943789416
21552,30298,-8746,0.692199110161303,0.729540844332972,0.71665455838129,32.8254545454545,34.0418181818182,33.1327272727273,16.3545454545455,16.9581818181818,16.1472727272727,17.24,16.6654545454545,16.6345454545455,1.43317483013326,-6.53276282007044,0.816938074664894,0.884687283020883,0.865115513362235
21858,30279,-8421,0.692007026378947,0.729525695138915,0.716441653166389,32.7781818181818,34.1090909090909,33.1127272727273,16.2290909090909,17.0781818181818,16.0181818181818,17.3618181818182,16.5072727272727,16.8054545454545,1.3606483318589,-6.54761340618134,0.816785001109385,0.884434968017058,0.86503404348781
22086,30272,-8186,0.691841508529476,0.729455769915143,0.716420247770883,32.7454545454545,34.1781818181818,33.0763636363636,16.0854545454545,17.1981818181818,15.9327272727273,17.4727272727273,16.3690909090909,16.9418181818182,1.28889278932051,-6.5970996835015,0.816712937257079,0.884083413129056,0.865325417766051
22475,30303,-7828,0.691758664079694,0.729522042901946,0.716238353327245,32.7109090909091,34.1963636363636,33.0927272727273,15.9218181818182,17.3254545454545,15.8254545454545,17.6127272727273,16.2327272727273,17.0818181818182,1.22033537843011,-6.58570782921531,0.816964037574343,0.884091875797533,0.865227185319488
22801,30360,-7559,0.69165932252525,0.729527131731007,0.716078040440076,32.6563636363636,34.2527272727273,33.0909090909091,15.7672727272727,17.4472727272727,15.7036363636364,17.7690909090909,16.1145454545455,17.1981818181818,1.15356192697178,-6.633440340649,0.817270753298814,0.883911035617602,0.86521978021978
23205,30397,-7192,0.691570206343111,0.729641891309465,0.715605831822529,32.5981818181818,34.3272727272727,33.0745454545455,15.5509090909091,17.64,15.5672727272727,17.9290909090909,15.9418181818182,17.3709090909091,1.08453750285235,-6.62997239936482,0.817558146020414,0.88405720338983,0.864713319773514
23501,30418,-6917,0.691198893602401,0.729747048566603,0.715468739985682,32.5563636363636,34.4,33.0436363636364,15.3509090909091,17.7636363636364,15.4872727272727,18.0563636363636,15.7854545454545,17.5563636363636,1.01325566660274,-6.69091866449876,0.817212107673406,0.883985200845666,0.86480686695279
23831,30462,-6631,0.691292426146579,0.729683013079381,0.715260176922736,32.5309090909091,34.4436363636364,33.0254545454545,15.1818181818182,17.8618181818182,15.3909090909091,18.2018181818182,15.6418181818182,17.7218181818182,0.942940727147189,-6.74822438196702,0.817683881064163,0.883973817567568,0.864842545694781
24366,30514,-6148,0.691142794070737,0.729662937386974,0.715124995077382,32.4927272727273,34.4690909090909,33.0381818181818,14.9909090909091,18.0363636363636,15.22,18.3872727272727,15.46,17.9054545454545,0.872836787592281,-6.70942927490581,0.817693469867383,0.88411224812744,0.864729514060866
24731,30538,-5807,0.690930822919159,0.729554618093627,0.714833695041797,32.4418181818182,34.5309090909091,33.0272727272727,14.7690909090909,18.1963636363636,15.0927272727273,18.5781818181818,15.2436363636364,18.12,0.799812816489826,-6.74750198342583,0.817911786134619,0.884003791069924,0.864684833470961
25182,30613,-5431,0.690653723818375,0.729814856012591,0.714724506254764,32.3963636363636,34.5909090909091,33.0127272727273,14.5927272727273,18.3254545454545,14.9436363636364,18.78,15.0363636363636,18.3218181818182,0.730820576711134,-6.77054329351945,0.817824671680323,0.884467805519054,0.8649005893044
25680,30679,-4999,0.690564334302174,0.729692537345331,0.714394915693012,32.3563636363636,34.6327272727273,33.0109090909091,14.3709090909091,18.4963636363636,14.7727272727273,19.0290909090909,14.7854545454545,18.5454545454545,0.659879968924956,-6.76499482501637,0.817992807372443,0.884554808903822,0.864672835426305
26306,30722,-4416,0.690344484718744,0.729688901473744,0.714043740154611,32.3018181818182,34.6981818181818,33,14.1472727272727,18.6672727272727,14.56,19.2654545454545,14.5763636363636,18.7836363636364,0.58636764829809,-6.6911218307235,0.818135764944276,0.884353385034584,0.86435261707989
26806,30804,-3998,0.690006609787811,0.729814390364511,0.7139339984714,32.2581818181818,34.7490909090909,32.9927272727273,13.9290909090909,18.8290909090909,14.3563636363636,19.5236363636364,14.3327272727273,19.0290909090909,0.514751211621545,-6.70462628169493,0.818002479990982,0.884679782335705,0.864708475697123
27367,30853,-3486,0.689710234355536,0.729918605926885,0.713615895124333,32.2254545454545,34.7727272727273,33.0018181818182,13.6836363636364,19.0254545454545,14.1745454545455,19.7090909090909,14.1236363636364,19.2836363636364,0.440115536342968,-6.6669796212153,0.817874069058903,0.885124183006536,0.864525370503003
27960,30907,-2947,0.689401676447461,0.72986238127945,0.713237952013891,32.1509090909091,34.8363636363636,33.0127272727273,13.3927272727273,19.3072727272727,13.9254545454545,20.0090909090909,13.8872727272727,19.4781818181818,0.364773576367985,-6.60549835616892,0.81801730475598,0.885125260960334,0.864074461640139
28404,30925,-2521,0.689214646488771,0.729685091143666,0.712898163664059,32.0818181818182,34.9072727272727,33.0109090909091,13.14,19.5181818181818,13.7636363636364,20.2254545454545,13.6781818181818,19.6745454545455,0.286469292098826,-6.60043682726947,0.818135449135733,0.884837751966248,0.86384666226041
29083,31072,-1989,0.689120393869778,0.729868496287719,0.712659829464196,32.0345454545455,34.9836363636364,32.9818181818182,12.9018181818182,19.7327272727273,13.5236363636364,20.4981818181818,13.4127272727273,19.9309090909091,0.218380876562812,-6.54314468557184,0.818831942789035,0.885297021984304,0.864057331863286
29653,31106,-1453,0.688709958298939,0.730403316423536,0.712339384126765,31.9127272727273,35.1309090909091,32.9563636363636,12.6709090909091,19.9218181818182,13.3090909090909,20.7436363636364,13.2072727272727,20.1472727272727,0.140329655463045,-6.47854591608048,0.819051959890611,0.885674360832212,0.863841994924418
30196,31172,-976,0.688144025168268,0.730377112302013,0.712256166648891,31.8036363636364,35.2236363636364,32.9727272727273,12.4309090909091,20.0963636363636,13.0945454545455,21.0490909090909,12.96,20.3690909090909,0.0646892737258564,-6.43299190131101,0.818831465812943,0.885355907706602,0.864130135097877
30754,31240,-486,0.687653341094215,0.730300727700806,0.712033936928742,31.7090909090909,35.3,32.9909090909091,12.22,20.2654545454545,12.8381818181818,21.3218181818182,12.7309090909091,20.6236363636364,-0.0107082469896837,-6.38268355347893,0.818692660550459,0.8851918619624,0.863984568751722
