"total_rewards","action_rewards","opinion_rewards","sp0_social_trust","sp1_social_trust","sp2_social_trust","sp0_request_rate","sp1_request_rate","sp2_request_rate","op0_expression_rate","op1_expression_rate","op2_expression_rate","op3_expression_rate","op4_expression_rate","op5_expression_rate","mean_loss1","mean_loss2","sp0_availability","sp1_availability","sp2_availability"
19771,29392,-9621,0.685760465519572,0.710391501091576,0.728866419923695,32.8836363636364,34.1109090909091,33.0054545454545,16.9618181818182,16.8109090909091,16.6036363636364,16.0454545454545,16.7781818181818,16.8,1.51370977271687,-6.64582824490287,0.80858122304545,0.84947497468152,0.888338015754972
20064,29446,-9382,0.685487300120594,0.710683684738419,0.729111883188755,32.7618181818182,34.1672727272727,33.0709090909091,16.8818181818182,16.9054545454545,16.4309090909091,16.2163636363636,16.6890909090909,16.8763636363636,1.44890938455408,-6.69864152778279,0.808646428769632,0.850042571306939,0.888449062620265
20287,29429,-9142,0.685086596167674,0.710505420070061,0.729160370518233,32.6218181818182,34.2418181818182,33.1363636363636,16.7727272727273,17.02,16.3490909090909,16.3618181818182,16.5236363636364,16.9727272727273,1.37768058885228,-6.74902081489563,0.808661241779066,0.84957255880635,0.888230452674897
20516,29457,-8941,0.684711815055067,0.710450257139895,0.729388272884627,32.5181818181818,34.2909090909091,33.1909090909091,16.64,17.1890909090909,16.2090909090909,16.4854545454545,16.4381818181818,17.0381818181818,1.31061195460233,-6.81461141759699,0.808442829186469,0.849204665959703,0.888414133114215
20885,29523,-8638,0.684468483569804,0.710290465144731,0.729665381598645,32.3945454545455,34.2963636363636,33.3090909090909,16.4890909090909,17.3363636363636,16.1363636363636,16.5836363636364,16.3181818181818,17.1363636363636,1.24635185545141,-6.83685578216206,0.808497502385362,0.849175634840693,0.888427947598253
21306,29595,-8289,0.684365482461361,0.710369397045931,0.729898196990982,32.3327272727273,34.3036363636364,33.3636363636364,16.3418181818182,17.4818181818182,15.98,16.7236363636364,16.2345454545455,17.2381818181818,1.18268148248846,-6.8433331489563,0.808693696226733,0.849472624158584,0.888828337874659
21769,29657,-7888,0.683852025108598,0.710624639112339,0.730080618588852,32.1745454545455,34.3763636363636,33.4490909090909,16.1909090909091,17.6727272727273,15.8290909090909,16.8436363636364,16.12,17.3436363636364,1.11694617054679,-6.82340209700845,0.808487793851718,0.849579520812398,0.888840571832364
22151,29646,-7495,0.683477312869353,0.710659273506383,0.73014956020652,32.04,34.4109090909091,33.5490909090909,16.0290909090909,17.8654545454545,15.6581818181818,16.9872727272727,16.0072727272727,17.4527272727273,1.04453568783673,-6.81411799409173,0.808251049824084,0.849413505230899,0.888684153479298
22519,29656,-7137,0.683249975805827,0.710624098756715,0.730227746511085,31.9472727272727,34.4454545454545,33.6072727272727,15.8327272727273,18.0854545454545,15.5036363636364,17.1145454545455,15.9109090909091,17.5527272727273,0.973604616793719,-6.82773701711135,0.808149792271356,0.849617313275271,0.888606362259251
22948,29685,-6737,0.682981646506334,0.710732263206769,0.730191957430529,31.8236363636364,34.5,33.6763636363636,15.6345454545455,18.3090909090909,15.3127272727273,17.2909090909091,15.7418181818182,17.7109090909091,0.903647790171883,-6.8276686874303,0.808261440895846,0.849644268774704,0.888510959939531
