"total_rewards","action_rewards","opinion_rewards","sp0_social_trust","sp1_social_trust","sp2_social_trust","sp0_request_rate","sp1_request_rate","sp2_request_rate","op0_expression_rate","op1_expression_rate","op2_expression_rate","op3_expression_rate","op4_expression_rate","op5_expression_rate","mean_loss1","mean_loss2","sp0_availability","sp1_availability","sp2_availability"
21637,30976,-9339,0.730129266987044,0.706961896086765,0.715938039635141,32.7872727272727,33.1127272727273,34.1,16.7818181818182,16.2636363636364,16.7418181818182,16.7109090909091,16.6290909090909,16.8727272727273,1.66330935846676,-6.51985398422588,0.891088559862474,0.850043927081045,0.849373500399893
21927,30966,-9039,0.730185422224376,0.70684028931044,0.715889437198346,32.8145454545455,33.0818181818182,34.1036363636364,16.6563636363636,16.4109090909091,16.6109090909091,16.8563636363636,16.5236363636364,16.9418181818182,1.59172338464043,-6.54394875439731,0.891123670212766,0.849793899422918,0.849336247800821
22245,30995,-8750,0.730291064096423,0.706661222162673,0.715885770876973,32.8618181818182,33.0181818181818,34.12,16.5290909090909,16.5672727272727,16.4909090909091,16.9690909090909,16.4145454545455,17.0290909090909,1.52337613972751,-6.57058571685444,0.891280292132345,0.84988986784141,0.849195353298519
22508,31001,-8493,0.730339649353664,0.706638766843779,0.715802953019337,32.8890909090909,32.9909090909091,34.12,16.4090909090909,16.7018181818182,16.3963636363636,17.1109090909091,16.28,17.1018181818182,1.45336313572797,-6.61071470867504,0.891370446127481,0.850151556902728,0.849142065437493
22829,31015,-8186,0.73033917178842,0.7062889462803,0.715633832260387,32.9418181818182,32.9472727272727,34.1109090909091,16.2909090909091,16.8945454545455,16.2745454545455,17.2072727272727,16.1490909090909,17.1836363636364,1.38354713266546,-6.62785912427035,0.891323545645215,0.850008277688869,0.849101860241991
23185,31045,-7860,0.730405878655099,0.706375691745694,0.715478838395274,32.9581818181818,32.9436363636364,34.0981818181818,16.1454545454545,17.0454545454545,16.1981818181818,17.3618181818182,15.9472727272727,17.3018181818182,1.31489333564585,-6.63397682796825,0.891487835825012,0.850322865500304,0.849098858910099
23464,31023,-7559,0.730571332627239,0.706215310269899,0.715346804760093,33.0036363636364,32.9054545454545,34.0909090909091,16,17.2109090909091,16.12,17.4745454545455,15.8072727272727,17.3872727272727,1.24098140326413,-6.66816710558805,0.891361833406787,0.850480716101227,0.849066666666667
23832,31063,-7231,0.730490222148257,0.706305264227177,0.715169985467366,33.0218181818182,32.8945454545455,34.0836363636364,15.8763636363636,17.3890909090909,15.9872727272727,17.6,15.6836363636364,17.4636363636364,1.17192631201311,-6.69201474623247,0.891201409536395,0.85087331417201,0.849194494825563
24148,31112,-6964,0.730400863129046,0.706352675462835,0.715206044969162,33.0163636363636,32.9236363636364,34.06,15.7163636363636,17.6018181818182,15.8836363636364,17.7036363636364,15.5327272727273,17.5618181818182,1.10345633355054,-6.75312817313454,0.89129357343466,0.851060304837641,0.849623658783964
24574,31141,-6567,0.73042724869789,0.706145663832323,0.714802858366916,33.0781818181818,32.8818181818182,34.04,15.5418181818182,17.8509090909091,15.7163636363636,17.86,15.3618181818182,17.6690909090909,1.03224207487973,-6.7478567535227,0.891166932336613,0.851092065247443,0.849428479863262
25005,31196,-6191,0.730504877018696,0.705906284475195,0.714546207122388,33.1036363636364,32.8854545454545,34.0109090909091,15.3381818181818,18.1327272727273,15.5690909090909,17.9836363636364,15.22,17.7563636363636,0.962253113768318,-6.76247076554732,0.89136046575493,0.851053242660474,0.849406607505613
25313,31265,-5952,0.73037891161512,0.705718465100507,0.714330242091027,33.1218181818182,32.8909090909091,33.9872727272727,15.1636363636364,18.3309090909091,15.4672727272727,18.0909090909091,15.0745454545455,17.8727272727273,0.893239911577918,-6.84609431353482,0.891365208321897,0.8510226644555,0.849515861552453
25768,31314,-5546,0.730521029206775,0.705431839306513,0.714256995341177,33.1854545454545,32.8181818181818,33.9963636363636,14.9090909090909,18.6454545454545,15.3018181818182,18.2145454545455,14.9181818181818,18.0109090909091,0.821269143711437,-6.85588967366652,0.891573526188911,0.851024930747922,0.849609583912718
26260,31343,-5083,0.730470868562455,0.705143054308142,0.713972575465049,33.1909090909091,32.8472727272727,33.9618181818182,14.6854545454545,18.9218181818182,15.0872727272727,18.4163636363636,14.6690909090909,18.22,0.747073086283424,-6.84322410496798,0.891755683374418,0.850492638104727,0.849617217195781
26724,31396,-4672,0.73046372562067,0.705021763317087,0.713675300740127,33.2436363636364,32.8127272727273,33.9436363636364,14.4690909090909,19.2109090909091,14.8836363636364,18.6090909090909,14.4709090909091,18.3563636363636,0.673944510113109,-6.84468839602037,0.891708597681033,0.850889344489389,0.849483100326745
27149,31462,-4313,0.730523283723043,0.704721974550131,0.71344011265555,33.3,32.7418181818182,33.9581818181818,14.2472727272727,19.4672727272727,14.6981818181818,18.7327272727273,14.3836363636364,18.4709090909091,0.60171903425997,-6.88246931379492,0.891891891891892,0.850899600177699,0.849440488301119
27700,31540,-3840,0.730170721163833,0.704491642584698,0.713367089024232,33.3254545454545,32.7090909090909,33.9654545454545,14.0363636363636,19.7509090909091,14.4490909090909,18.9454545454545,14.1745454545455,18.6436363636364,0.529265063459223,-6.86212040077556,0.891647116591194,0.850972762645914,0.849579786949307
28244,31615,-3371,0.730155388350861,0.704170331128506,0.71326238096262,33.3527272727273,32.6818181818182,33.9654545454545,13.7963636363636,20.06,14.2345454545455,19.1490909090909,13.98,18.78,0.455917656421661,-6.84166935573925,0.891844744875709,0.850848400556328,0.849686847599165
28757,31675,-2918,0.72994801410558,0.70373512418305,0.713026838317108,33.4272727272727,32.6109090909091,33.9618181818182,13.6218181818182,20.2727272727273,14.0527272727273,19.3781818181818,13.7072727272727,18.9672727272727,0.380861687660217,-6.82348753538999,0.891596410116943,0.850802854594112,0.84972428930885
29165,31742,-2577,0.729785623772754,0.703383278437733,0.71262625822382,33.4836363636364,32.5727272727273,33.9436363636364,13.4,20.5581818181818,13.8909090909091,19.48,13.5418181818182,19.1290909090909,0.306469070369547,-6.85118805170059,0.891453084274544,0.85062796539213,0.849536665059725
29734,31845,-2111,0.729700865945267,0.703099350108475,0.712416658753736,33.5236363636364,32.5436363636364,33.9327272727273,13.1654545454545,20.8527272727273,13.6581818181818,19.7072727272727,13.3218181818182,19.2945454545455,0.235019628568129,-6.81569982983849,0.891582601149799,0.850662048159115,0.849702620157531
30219,31931,-1712,0.729738615555053,0.702923543903772,0.712149002426233,33.5854545454545,32.52,33.8945454545455,12.9872727272727,21.0636363636364,13.4381818181818,19.8890909090909,13.1309090909091,19.4909090909091,0.161327928033742,-6.80009359663183,0.891619748809008,0.851112602035111,0.849801523441691
30715,32008,-1293,0.729655255822649,0.702703750749712,0.712117009588729,33.6290909090909,32.4654545454545,33.9054545454545,12.7436363636364,21.34,13.2181818181818,20.1090909090909,12.9527272727273,19.6363636363636,0.0873717175288634,-6.77598378658295,0.891814446366782,0.851254480286738,0.850010725010725
31276,32070,-794,0.729594411044829,0.702477999970119,0.711906620571696,33.7145454545455,32.4,33.8854545454545,12.5381818181818,21.5836363636364,13.0545454545455,20.2909090909091,12.7145454545455,19.8181818181818,0.0115001393990083,-6.71052881045775,0.891711157849323,0.851402918069585,0.850244138005044
31781,32154,-373,0.729682080367612,0.702306948387325,0.711659291044899,33.7745454545455,32.3618181818182,33.8636363636364,12.3181818181818,21.8454545454545,12.8527272727273,20.5127272727273,12.4654545454545,20.0054545454545,-0.0616177493875677,-6.66346602548252,0.891795865633075,0.851620877577392,0.850308724832215
32253,32225,28,0.729572168917266,0.702062826131314,0.711357528743444,33.8272727272727,32.3,33.8727272727273,12.0818181818182,22.1309090909091,12.6363636363636,20.7290909090909,12.2509090909091,20.1709090909091,-0.135896298831159,-6.6212367978963,0.891857027680731,0.851843512524627,0.849919484702093
32744,32311,433,0.729721222191698,0.701603499825331,0.71123280865358,33.9381818181818,32.2145454545455,33.8472727272727,11.8781818181818,22.3872727272727,12.4436363636364,20.9072727272727,12.0218181818182,20.3618181818182,-0.208491442962126,-6.56943274194544,0.892317582770813,0.851732701207811,0.849914052428019
33233,32405,828,0.729777726353501,0.701566133010719,0.711058869444819,34.0018181818182,32.2018181818182,33.7963636363636,11.72,22.6090909090909,12.2272727272727,21.08,11.8472727272727,20.5163636363636,-0.279834677414461,-6.52408971461383,0.892626062777392,0.85218225961267,0.850118355928556
33771,32494,1277,0.729482006541765,0.70135288430237,0.711082124424148,34.0418181818182,32.1763636363636,33.7818181818182,11.5036363636364,22.8872727272727,12.0236363636364,21.2818181818182,11.6327272727273,20.6709090909091,-0.350619267875498,-6.45151338902387,0.892485178657267,0.85234785556874,0.850753498385361
34225,32570,1655,0.729495339017637,0.700750030158685,0.710757261932768,34.1181818181818,32.1127272727273,33.7690909090909,11.3345454545455,23.0545454545455,11.8909090909091,21.4709090909091,11.4,20.8490909090909,-0.422563294118101,-6.38909743374044,0.892619237942979,0.852225116068395,0.850643407096323
